slope,phi0,rho,R,n,p,session,unit,direction,peak,si,lo,width,n_runs,n_passes,maze,track_len,circular
-0.2799999999999998,-2.0254639625352504,-0.12366385443274562,0.30414353072610845,257,0.03980099502487562,Cicero-09102014,4,-1,5.9561781632464506,0.964036159660497,1.123943661971831,0.44,258,81,CircularMaze,2.85,True
-0.54,-1.765248264850597,-0.3993151036444619,0.40408388209809337,297,0.004975124378109453,Cicero-09102014,10,-1,8.037176526880785,1.3828767176211652,0.9232394366197183,0.32,258,45,CircularMaze,2.85,True
-0.9100000000000001,-0.5478379456623704,-0.32818535639000584,0.24494898569915136,74,0.01990049751243781,Cicero-09102014,14,-1,1.7212284396599642,0.5778716416063653,0.8429577464788733,0.44,258,38,CircularMaze,2.85,True
-0.8799999999999999,-0.6796896322841025,-0.15733615200309553,0.5051880745477582,232,0.03980099502487562,Cicero-09102014,18,-1,5.985925442112181,1.4450352165238574,0.0,0.4,258,39,CircularMaze,2.85,True
-0.6099999999999999,-1.0951870051757242,-0.6969960453150447,0.6277123495730303,629,0.004975124378109453,Cicero-09102014,21,-1,14.624625329594478,1.9215614954820097,0.7225352112676057,0.4,258,69,CircularMaze,2.85,True
-0.8900000000000001,-0.8244583184564778,-0.62439765842758,0.46436073329803046,772,0.004975124378109453,Cicero-09102014,24,-1,20.013574025161674,1.3296007967312724,0.0,0.4,258,57,CircularMaze,2.85,True
-0.8999999999999999,-1.0944198016656732,0.3879242125199728,0.23879869138304566,485,0.004975124378109453,Cicero-09102014,25,-1,13.854414068224022,1.4852921794194323,1.0838028169014085,0.32,258,73,CircularMaze,2.85,True
-0.69,-2.3938331718866497,0.010489965415117517,0.27051848247722055,327,0.8805970149253731,Cicero-09102014,26,-1,7.951519347217783,1.3374858532748732,2.4485915492957746,0.36,258,39,CircularMaze,2.85,True
-0.75,-0.9071824177747012,-0.4604849665633337,0.34974268253658974,441,0.004975124378109453,Cicero-09102014,38,-1,7.827049782954851,0.8991793856794639,0.7225352112676057,0.52,258,64,CircularMaze,2.85,True
-0.98,-1.093373566384301,-0.33066131958807454,0.3096114912087187,161,0.004975124378109453,Cicero-09102014,40,-1,3.711114130935664,2.2339297244594856,2.4485915492957746,0.4,258,23,CircularMaze,2.85,True
-0.8900000000000001,-1.869912694298694,0.1335303784776843,0.2630415380721576,92,0.35323383084577115,Cicero-09102014,42,-1,2.341864573750924,1.5115539681477503,2.4485915492957746,0.4,258,20,CircularMaze,2.85,True
-0.21999999999999975,-1.2704014173650413,-0.16113232669754424,0.5298523846239274,59,0.22388059701492538,Cicero-09102014,43,-1,1.683362624397785,1.2186569440316257,0.8830985915492958,0.36,258,39,CircularMaze,2.85,True
0.3700000000000001,-0.5244290071709986,0.1718483187816337,0.28100753282343116,261,0.004975124378109453,Cicero-09102014,47,-1,4.411706539367068,0.753242673564574,2.3281690140845073,0.6,258,61,CircularMaze,2.85,True
-0.33999999999999986,-1.624727809547964,-0.12489460480354571,0.2873090539084003,224,0.06467661691542288,Cicero-09102014,49,-1,5.472520566933077,2.081013360170495,2.0471830985915496,0.44,258,65,CircularMaze,2.85,True
0.7400000000000002,-2.3415363020617983,-0.061693080950557824,0.20229131764586647,377,0.3482587064676617,Cicero-09102014,53,-1,7.1756655220937215,0.831029590193305,0.6422535211267606,0.6,258,47,CircularMaze,2.85,True
0.7400000000000002,-2.261949442602095,0.18256506463809274,0.25540757933497865,104,0.1791044776119403,Cicero-09102014,54,-1,2.2477408078464927,1.4181664232275755,0.8429577464788733,0.44,258,43,CircularMaze,2.85,True
-0.21999999999999975,-1.6835653771148322,-0.3325318220559783,0.6804766482767736,64,0.009950248756218905,Cicero-09102014,55,-1,2.1147268671597357,1.5410945996463132,0.0,0.32,258,24,CircularMaze,2.85,True
-0.6999999999999997,-0.6528575735716827,-0.6521625270326166,0.7145164964730331,145,0.004975124378109453,Cicero-09102014,59,-1,4.095311686172714,1.6395211679190747,1.8063380281690142,0.4,258,47,CircularMaze,2.85,True
-0.7999999999999998,-1.608293560314151,-0.3605811036047996,0.30755585612741687,684,0.004975124378109453,Cicero-09102014,61,-1,22.014073213212146,0.9465303073310916,1.9669014084507044,0.36,258,60,CircularMaze,2.85,True
-0.6800000000000002,-1.391379367333391,-0.6207924210201156,0.49319474610709063,373,0.004975124378109453,Cicero-09102014,70,-1,10.82196817186844,2.2982632813639214,1.7661971830985916,0.36,258,52,CircularMaze,2.85,True
-0.7599999999999998,-0.9383909477643217,-0.34319623515410325,0.2730557433976393,322,0.004975124378109453,Cicero-09102014,71,-1,4.382918530083438,1.1099896276096648,0.5619718309859155,0.64,258,58,CircularMaze,2.85,True
-0.71,-1.969340005042476,-0.34408372893093225,0.27199474283220365,452,0.004975124378109453,Cicero-09102014,72,-1,12.945020143875595,1.4037502223360876,0.9232394366197183,0.36,258,62,CircularMaze,2.85,True
-0.5299999999999998,-2.856665295493805,-0.1702540616318497,0.3118133390938819,202,0.01990049751243781,Cicero-09102014,76,-1,7.098493318575194,0.8367085736126434,0.08028169014084507,0.32,258,50,CircularMaze,2.85,True
-0.54,-2.4474072899124435,-0.1536004179157723,0.24711873164796425,559,0.004975124378109453,Cicero-09102014,77,-1,13.796256600485087,0.7220318184824752,1.7661971830985916,0.48,258,83,CircularMaze,2.85,True
0.4500000000000002,-2.140936752095768,0.40841892135903923,0.2901902988464471,155,0.004975124378109453,Cicero-09102014,80,-1,3.9599882369057435,0.7788901109931441,1.485211267605634,0.4,258,41,CircularMaze,2.85,True
-0.6299999999999999,-1.9978342771224027,-0.5380359901270872,0.4407200724405285,108,0.004975124378109453,Cicero-09102014,91,-1,2.8332552707354486,0.6828033721536447,0.8028169014084507,0.4,258,46,CircularMaze,2.85,True
-0.48,-2.335385515240664,-0.30756116644513476,0.2906663192617247,142,0.004975124378109453,Cicero-09102014,92,-1,2.3043505696183657,0.6598955809995213,1.6056338028169015,0.64,258,45,CircularMaze,2.85,True
-0.6000000000000001,-2.3122343944297175,-0.5063379810893054,0.4179083625033392,163,0.004975124378109453,Cicero-09102014,94,-1,3.5115366146412237,1.558152442190139,0.7626760563380282,0.44,258,55,CircularMaze,2.85,True
-0.6299999999999999,-1.4556843906505759,-0.487008884589121,0.4634786865783856,559,0.004975124378109453,Cicero-09102014,97,-1,17.451273683914945,1.2090320647576378,0.08028169014084507,0.36,258,57,CircularMaze,2.85,True
-1.8599999999999999,-0.3689324324220915,-0.47772863537999094,0.4246955006634811,55,0.004975124378109453,Cicero-09102014,103,-1,1.3745488548686415,1.0160153820659406,2.68943661971831,0.52,258,39,CircularMaze,2.85,True
2.9400000000000004,2.7596352801425965,-0.32909124582760696,0.2349240604616791,58,0.03482587064676617,Cicero-09172014,9,1,3.538118620363412,0.6028879467109757,1.24,0.48,130,23,2mLinearMaze,2.0,False
0.5800000000000001,-2.795966308783299,0.24415629293176042,0.1626893044715028,700,0.004975124378109453,Cicero-09172014,17,1,11.501080622541915,0.5205878122208909,0.44,0.88,130,77,2mLinearMaze,2.0,False
-0.6200000000000001,-1.1689960449640868,-0.6414381596293901,0.5386249166185029,72,0.004975124378109453,Cicero-09172014,24,1,2.429896437572692,1.3814936485537852,0.68,0.32,130,21,2mLinearMaze,2.0,False
