session,unit,direction,peak_rate,peak_pos,field_start,field_end,field_width,spatial_info,n_spikes_field,is_place_cell,slope,phase0,rho,perm_p
Cicero_09172014,41,R,35.54163602877384,0.06,3.469446951953614e-18,0.24,0.24,2.633388315750392,462,True,-0.08999999999999986,1.4385750093440208,-0.04350435611932909,0.40119760479041916
Cicero_09172014,44,R,2.384645265685881,1.1400000000000001,0.56,1.36,0.8,0.6370554013651991,86,True,-0.10999999999999988,5.914099533008846,-0.03963515785095028,0.6626746506986028
Cicero_09172014,45,R,17.34161602274942,0.42000000000000004,0.24000000000000002,0.96,0.72,0.622556499452673,874,True,-0.43999999999999995,3.476554147374174,-0.15329911424830442,0.001996007984031936
Cicero_09172014,49,R,16.297545244887647,0.06,3.469446951953614e-18,0.28,0.28,1.2192187527965865,303,True,-0.20999999999999996,2.2780601649516687,-0.12178835009144351,0.023952095808383235
Cicero_09172014,52,R,8.085766374148887,1.3800000000000001,1.0,1.72,0.72,1.2061133965606112,126,True,0.73,3.6176803820205072,0.336271521441754,0.031936127744510975
Cicero_09172014,55,R,3.943073090548017,1.42,0.9199999999999999,1.6400000000000001,0.7200000000000002,0.629595180946772,85,True,-0.6799999999999999,5.100719352852187,-0.016295365677611157,0.06387225548902195
Cicero_09172014,59,R,4.691440425430734,1.26,1.0,1.44,0.43999999999999995,1.2229012846535754,55,True,-0.07000000000000006,2.953256695637934,-0.06165138292648969,0.6726546906187625
Cicero_09172014,70,R,1.1121765185663859,0.5800000000000001,0.2,1.04,0.8400000000000001,0.5316751595962671,56,True,2.0,1.191344266265962,0.12922454149330498,0.844311377245509
Cicero_09172014,17,L,23.55939352625867,1.62,1.32,1.96,0.6399999999999999,1.0795420485653286,835,True,-0.51,4.459062221607484,-0.24042826738307355,0.001996007984031936
Cicero_09172014,18,L,10.997824813182774,0.9,0.6799999999999999,1.32,0.6400000000000001,0.6277009813418686,237,True,-0.72,5.56687146657217,-0.07323792684200868,0.001996007984031936
Cicero_09172014,23,L,15.097358339464359,0.66,0.31999999999999995,0.96,0.64,0.6813699990934962,326,True,-0.5700000000000001,5.191960392604195,-0.25503260739485045,0.001996007984031936
Cicero_09172014,26,L,10.515229249012265,0.38,0.24000000000000002,0.56,0.32000000000000006,0.9272168062103345,116,True,-0.5900000000000001,3.6683341876116757,-0.24460324294216423,0.001996007984031936
Cicero_09172014,31,L,16.314838827672148,1.98,1.52,2.0,0.48,0.9808543822121281,399,True,1.2800000000000002,6.255496537703132,-0.0862868465416047,0.001996007984031936
Cicero_09172014,45,L,7.424448520701409,0.42000000000000004,0.08000000000000002,0.72,0.6399999999999999,0.9308683606562195,149,True,-1.24,6.038721007619255,0.2021256550687285,0.09181636726546906
Cicero_09172014,49,L,4.4358407209343484,0.02,3.469446951953614e-18,0.36,0.36,0.42980875287609455,64,True,0.1299999999999999,4.257638139010475,0.09389322946857168,0.6067864271457086
Gatsby_08022013,8,R,16.527584405524284,0.18,3.469446951953614e-18,0.52,0.52,0.6737877776036081,691,True,-0.77,4.919581186385503,-0.23052452616895114,0.001996007984031936
Gatsby_08022013,21,R,27.55031329099665,0.26,3.469446951953614e-18,0.56,0.56,0.8079670074276866,1310,True,-0.94,5.580353150432128,-0.0050748268993358716,0.001996007984031936
