template,wcorr,slope,p_circ,p_perm,max_p,significant
right,0.22407730057793543,125.2566384026294,0.4463840399002494,0.5112219451371571,0.5112219451371571,False
right,-0.30686508725101047,-211.911268112865,0.22194513715710723,0.3940149625935162,0.3940149625935162,False
left,0.4171917772178109,275.8585059062323,0.06483790523690773,0.19950124688279303,0.19950124688279303,False
left,-0.33071076073598754,-147.09060957934884,0.06982543640897755,0.1546134663341646,0.1546134663341646,False
right,0.025552487365416723,14.837243238901854,0.9850374064837906,0.9950124688279302,0.9950124688279302,False
right,0.5415516141617812,259.63297241712974,0.004987531172069825,0.00997506234413965,0.00997506234413965,True
left,-0.38380863910638824,-220.99832435137435,0.05236907730673317,0.057356608478802994,0.057356608478802994,False
right,0.37035344780543294,255.43119067961374,0.10224438902743142,0.16209476309226933,0.16209476309226933,False
right,-0.12054415234219856,-70.30574990685875,0.7331670822942643,0.8229426433915212,0.8229426433915212,False
left,-0.4364795977634373,-263.3654951029567,0.02493765586034913,0.11221945137157108,0.11221945137157108,False
left,0.24722257096395928,102.34293043684863,0.16708229426433915,0.2718204488778055,0.2718204488778055,False
left,-0.46944258087918633,-319.8716584757623,0.022443890274314215,0.10972568578553615,0.10972568578553615,False
right,0.10229018368538371,78.75310355380444,0.8553615960099751,0.9052369077306733,0.9052369077306733,False
left,0.30201594270605525,217.92634568699745,0.286783042394015,0.4339152119700748,0.4339152119700748,False
right,-0.5310300829272417,-236.41214107624526,0.0024937655860349127,0.0024937655860349127,0.0024937655860349127,True
left,0.2509237201032575,126.56993781342433,0.3640897755610973,0.3740648379052369,0.3740648379052369,False
left,-0.24444841789608493,-153.47986819179397,0.3092269326683292,0.4613466334164589,0.4613466334164589,False
right,0.16422386914639472,98.64032173904933,0.5286783042394015,0.7456359102244389,0.7456359102244389,False
right,-0.13965643818749793,-60.58890746828651,0.5536159600997507,0.6907730673316709,0.6907730673316709,False
right,0.24260742905146293,149.70968890660322,0.3940149625935162,0.5062344139650873,0.5062344139650873,False
left,-0.46768887877902077,-363.28344334663234,0.02743142144638404,0.08728179551122195,0.08728179551122195,False
right,0.09518624117800294,50.57157029735022,0.8329177057356608,0.8703241895261845,0.8703241895261845,False
left,0.006944447945056798,3.512543730739431,1.0,0.9975062344139651,1.0,False
left,-0.27888973778957715,-147.26202974294824,0.1172069825436409,0.2718204488778055,0.2718204488778055,False
left,0.23109904244438093,136.39319345208185,0.256857855361596,0.4488778054862843,0.4488778054862843,False
right,-0.33843794614151695,-226.5843997686539,0.14713216957605985,0.3266832917705736,0.3266832917705736,False
left,-0.2345990044966451,-101.709373750635,0.23690773067331672,0.36658354114713215,0.36658354114713215,False
left,-0.18655388368569897,-121.97013945138555,0.4937655860349127,0.6408977556109726,0.6408977556109726,False
right,-0.6347529856764274,-455.3964221947944,0.004987531172069825,0.00997506234413965,0.00997506234413965,True
left,-0.21675737881406182,-110.03079726444982,0.3765586034912718,0.5261845386533666,0.5261845386533666,False
left,0.29793933130553585,147.66135498321637,0.14463840399002495,0.2543640897755611,0.2543640897755611,False
left,0.16366791995582688,75.60461561287647,0.4114713216957606,0.5960099750623441,0.5960099750623441,False
left,-0.3004853384279201,-141.2146883392726,0.08977556109725686,0.18703241895261846,0.18703241895261846,False
right,-0.30166482404224365,-136.25668732434747,0.11970074812967581,0.23690773067331672,0.23690773067331672,False
left,-0.279676449014288,-200.55627278607074,0.3690773067331671,0.42144638403990026,0.42144638403990026,False
left,-0.3402972272563482,-231.61573916570265,0.05236907730673317,0.2169576059850374,0.2169576059850374,False
left,0.32134141455242926,159.73518727020237,0.16957605985037408,0.23192019950124687,0.23192019950124687,False
left,0.25545667421714224,141.69715668812856,0.2344139650872818,0.41895261845386533,0.41895261845386533,False
left,0.15394837257416746,65.63831447617487,0.5486284289276808,0.6982543640897756,0.6982543640897756,False
right,0.14163794253995715,56.506660645953765,0.5885286783042394,0.7231920199501247,0.7231920199501247,False
left,0.2368004223449569,169.78741852885744,0.371571072319202,0.5660847880299252,0.5660847880299252,False
left,-0.3344912194684514,-123.25885338773783,0.02743142144638404,0.11221945137157108,0.11221945137157108,False
left,-0.15052322257061962,-95.10849783288337,0.6658354114713217,0.7880299251870324,0.7880299251870324,False
right,0.17986984616038068,105.2718518929677,0.5910224438902744,0.6932668329177057,0.6932668329177057,False
left,0.374622251360539,190.79043696018337,0.05486284289276808,0.10473815461346633,0.10473815461346633,False
left,0.27927666465763207,203.79742769696682,0.2593516209476309,0.4688279301745636,0.4688279301745636,False
left,-0.2656387063142833,-126.7962390791113,0.1571072319201995,0.2967581047381546,0.2967581047381546,False
left,-0.2694471183925509,-204.3060762727126,0.29177057356608477,0.428927680798005,0.428927680798005,False
right,0.28673317806895343,150.0885688627839,0.1745635910224439,0.30423940149625933,0.30423940149625933,False
left,0.10639111143548263,62.10430074994449,0.8104738154613467,0.8354114713216958,0.8354114713216958,False
right,0.369069704540417,233.85396572054455,0.029925187032418952,0.11221945137157108,0.11221945137157108,False
right,-0.5812473085072075,-320.61636688157154,0.0024937655860349127,0.012468827930174564,0.012468827930174564,True
right,0.4388333886190865,204.04455448005456,0.02493765586034913,0.04987531172069826,0.04987531172069826,True
left,0.16020013289774496,88.02097201630895,0.4089775561097257,0.628428927680798,0.628428927680798,False
right,-0.32070732917660594,-147.2507820333771,0.09476309226932668,0.1970074812967581,0.1970074812967581,False
